name,link
Booty songs,https://www.songfacts.com/category/booty-songs
End-of-the-world songs,https://www.songfacts.com/category/end-of-the-world-songs
Goodbye songs,https://www.songfacts.com/category/goodbye-songs
Kiss-off songs,https://www.songfacts.com/category/kiss-off-songs
New Year songs,https://www.songfacts.com/category/new-year-songs
Pessimistic songs,https://www.songfacts.com/category/pessimistic-songs
Songs about a best friend,https://www.songfacts.com/category/songs-about-a-best-friend
Songs about a breakup,https://www.songfacts.com/category/songs-about-a-breakup
Songs about a brother or sister,https://www.songfacts.com/category/songs-about-a-brother-or-sister
Songs about a circus or carnival,https://www.songfacts.com/category/songs-about-a-circus-or-carnival
Songs about a date,https://www.songfacts.com/category/songs-about-a-date
Songs about a first love,https://www.songfacts.com/category/songs-about-a-first-love
Songs about a fresh start,https://www.songfacts.com/category/songs-about-a-fresh-start
Songs about a grandparent,https://www.songfacts.com/category/songs-about-a-grandparent
Songs about a mother or father,https://www.songfacts.com/category/songs-about-a-mother-or-father
Songs about a stalker,https://www.songfacts.com/category/songs-about-a-stalker
Songs about accidents,https://www.songfacts.com/category/songs-about-accidents
Songs about adoption,https://www.songfacts.com/category/songs-about-adoption
Songs about affairs,https://www.songfacts.com/category/songs-about-affairs
Songs about alcohol,https://www.songfacts.com/category/songs-about-alcohol
Songs about Alzheimer's disease,https://www.songfacts.com/category/songs-about-alzheimers-disease
Songs about an ex-girlfriend or ex-boyfriend,https://www.songfacts.com/category/songs-about-an-ex-girlfriend-or-ex-boyfriend
Songs about angels,https://www.songfacts.com/category/songs-about-angels
Songs about anger or hatred,https://www.songfacts.com/category/songs-about-anger-or-hatred
Songs about animals,https://www.songfacts.com/category/songs-about-animals
Songs about authors or poets,https://www.songfacts.com/category/songs-about-authors-or-poets
Songs about bad luck,https://www.songfacts.com/category/songs-about-bad-luck
Songs about band dynamics,https://www.songfacts.com/category/songs-about-band-dynamics
Songs about baptisms,https://www.songfacts.com/category/songs-about-baptisms
Songs about battles,https://www.songfacts.com/category/songs-about-battles
Songs about being away from loved ones,https://www.songfacts.com/category/songs-about-being-away-from-loved-ones
Songs about being bullied,https://www.songfacts.com/category/songs-about-being-bullied
Songs about being crazy for someone,https://www.songfacts.com/category/songs-about-being-crazy-for-someone
Songs about being free,https://www.songfacts.com/category/songs-about-being-free
Songs about being misunderstood,https://www.songfacts.com/category/songs-about-being-misunderstood
Songs about being paranoid,https://www.songfacts.com/category/songs-about-being-paranoid
Songs about being single,https://www.songfacts.com/category/songs-about-being-single
Songs about being taken advantage of,https://www.songfacts.com/category/songs-about-being-taken-advantage-of
Songs about being there for someone,https://www.songfacts.com/category/songs-about-being-there-for-someone
Songs about being young and confused,https://www.songfacts.com/category/songs-about-being-young-and-confused
Songs about betrayal,https://www.songfacts.com/category/songs-about-betrayal
Songs about boats,https://www.songfacts.com/category/songs-about-boats
Songs about buskers or street musicians,https://www.songfacts.com/category/songs-about-buskers-or-street-musicians
Songs about cancel culture,https://www.songfacts.com/category/songs-about-cancel-culture
Songs about cannibals,https://www.songfacts.com/category/songs-about-cannibals
Songs about celebrity culture,https://www.songfacts.com/category/songs-about-celebrity-culture
Songs about censorship,https://www.songfacts.com/category/songs-about-censorship
Songs about change,https://www.songfacts.com/category/songs-about-change
Songs about chaos or confusion,https://www.songfacts.com/category/songs-about-chaos-or-confusion
Songs about cheating,https://www.songfacts.com/category/songs-about-cheating
Songs about childhood,https://www.songfacts.com/category/songs-about-childhood
Songs about choices,https://www.songfacts.com/category/songs-about-choices
Songs about clubbing or a night out,https://www.songfacts.com/category/songs-about-clubbing-or-a-night-out
Songs about commitment or respect,https://www.songfacts.com/category/songs-about-commitment-or-respect
Songs about computers or technology,https://www.songfacts.com/category/songs-about-computers-or-technology
Songs about confidence or courage,https://www.songfacts.com/category/songs-about-confidence-or-courage
Songs about consequences,https://www.songfacts.com/category/songs-about-consequences
Songs about conspiracy theories,https://www.songfacts.com/category/songs-about-conspiracy-theories
Songs about crushes,https://www.songfacts.com/category/songs-about-crushes
Songs about dancing,https://www.songfacts.com/category/songs-about-dancing
Songs about dealing with fame,https://www.songfacts.com/category/songs-about-dealing-with-fame
Songs about death,https://www.songfacts.com/category/songs-about-death
Songs about dependency or addiction,https://www.songfacts.com/category/songs-about-dependency-or-addiction
Songs about depression,https://www.songfacts.com/category/songs-about-depression
Songs about desire or longing,https://www.songfacts.com/category/songs-about-desire-or-longing
Songs about destiny or fate,https://www.songfacts.com/category/songs-about-destiny-or-fate
Songs about DJs,https://www.songfacts.com/category/songs-about-djs
Songs about dogs,https://www.songfacts.com/category/songs-about-dogs
Songs about drugs,https://www.songfacts.com/category/songs-about-drugs
Songs about eating disorders,https://www.songfacts.com/category/songs-about-eating-disorders
Songs about encounters with the law,https://www.songfacts.com/category/songs-about-encounters-with-the-law
Songs about encouragement or acceptance,https://www.songfacts.com/category/songs-about-encouragement-or-acceptance
