,song_index,topic,name,artist,lyrics,res_API,status_API,name_API
4,4,Booty songs,Big Booty,Gucci Mane,"J. White, I need a beat I can go off on, ooh

Tell the skinny hoes to point me where the thick hoes at (Go)
He want a flat booty bitch, I'm not with all that (No)
I got chips for days and I got whips for weeks
I bring out the fleet and it bring out the freaks (Mwah)
It's a block party, they done blocked off half the street (Wow)
She's a big booty bitch showing ass and cheeks (Yeah)
She's a walking bag of money, she's a masterpiece
The way she running game on you, she's an athlete (Go)
Hat trick, gave three hoes three stacks a piece (Go)
And every time I get the head she get that bread from me
(Ayy, ayy, ayy, look, it's Gucci)

Big old ass is heavy, shake that shit like jelly
Put me on your plate and slurp that shit up like spaghetti
Man, I make this shit look easy, I ain't tryin', I just be me
I ain't never met a ho I felt like I had to compete with, uh
This the type of booty make a nigga drop his bitch, wait
This the type of ass when I get home, he washing dishes, uh
He wanna ride on a horse
He need to give me the keys to a Porsche
I told him until you finish your dinner
I cannot let you leave off of the porch
Boy, let me butter your corn on the cob
We give each other more neck than a bob
He like to put a little oil on my ass
Before he record so I feel like a star, huh
Rollin' like I'm Tina, pussy Aquafina
Make this booty giggle like you Martin and I'm Gina, hmm
Put me in designer, uh, let me meet your mama, uh
If you got another bitch, don't put me in no drama, ah

Tell the skinny hoes to point me where the thick hoes at (Go)
He want a flat booty bitch, I'm not with all that (No)
I got chips for days and I got whips for weeks
I bring out the fleet and it bring out the freaks (Mwah)
It's a block party, they done blocked off half the street (Wow)
She's a big booty bitch showing ass and cheeks (Yeah)
She's a walking bag of money, she's a masterpiece
The way she running game on you, she's an athlete (Go)
Hat trick, gave three hoes three stacks a piece (Go)
And every time I get the head she get that bread from me
(It's Gucci)

Big booty hoes, ho booty
Big, big, big booty
Big, big, big booty",aprox,200,Big Booty (Ft. Megan Thee Stallion)
6,6,Booty songs,Booty,Jennifer Lopez,"Big, big booty
What you got a big booty
Big, big booty
What you got a big booty
Big, big booty
What you got a big booty
Big, big booty
What you?

Big, big booty
What you got a big booty
Big, big booty
What you got a big booty
Big, big booty
What you got a big booty
Big, big booty
What you?

Have you seen her on the dancefloor
She got the boom, shake the room
That's the lightning in the thunder
You wanna meet her, you wanna touch her
See the light in her eyes
And it starts to make you wonder

All the sexy girls in the party
Go and grab a man
Bring him to the dancefloor
Go and light them jeans
Don't you worry you're dancing
It's his birthday
Give him what he ask for
Let me show you how to do it

Big, big booty
What you got a big booty
Work
Big, big booty
What you got a big booty
Shake that
Big, big booty
What you got a big booty
Big, big booty
What you?

The way she moves
I know you want her
She like the fire, get you right
That's the lightning in the thunder
You wanna meet her, you gotta touch her
Hold on tight for the ride
Cause you know you're gonna love her

All the sexy girls in the party
Go and grab a man
Bring him to the dancefloor
Go and light them jeans
Don't you worry you're dancing
It's his birthday
Give him what he ask for
Let me show you how to do it

Big, big booty
What you got a big booty
Work
Big, big booty
What you got a big booty
Shake that
Big, big booty
What you got a big booty
Big, big booty


They begging me to drop down
On the floor right now
Iggy on the top
The last time the world's seen a booty this good
It was on ""Jenny From The Block""
I got 'em all crazy lately
Baby, all the men on my magnet
Wanna tell all of my ladies
To get up on the floor
And just shake it, shake it

Y'all know where I been on
Y'all know where I been on
Queen Booty Iggy
Now find me a bone to sit on
Girls with those cheeks, put they hands in the air
And pop that, pop
Let 'em know that you're in here
See everybody wanna get a taste
Ya know that we got enough to share
But fact we girls with the big fat booty
Too fancy to ever play fair

Mesmerized by the size of it
You can't fight it
If you like, take your turn
I can guarantee you'll have the time of your life
Throw up your hands if you love a big booty

Big, big booty
What you
Big, big booty
What you
Let me show you how to do it
Work
Shake that

Big, big booty
What you got a big booty
Big, big booty
What you got a big booty
Big, big booty
What you got a big booty
Big, big booty
What you got a big booty

Shake that",aprox,200,Booty (feat. Iggy Azalea)
8,8,Booty songs,Bubblegum,Jason Derulo,"Got me 'bout to break my neck
Tell me how you pop like that
You do it like it ain't no sweat
I never seen a bubble so fat
You do it all day in the mirror
You practice all day in the mirror
Left cheek, right cheek, all year
I'm calling you out, and I hope you hear it

Shawty right there got a ghetto booty
Shawty right there got a ghetto booty
Drop a dollar on the floor
Hope she give you to me
A ghetto booty
A ghetto booty
She got that trunk but she don't look back
She put it in reverse and I can't be mad
I can't be mad at that baby fat
That's a ghetto booty, a ghetto booty

She just wanna pop pop pop pop
Pop pop pop that bubblegum
She just wanna pop pop pop pop
Pop pop pop that bubblegum
If she keep blowing it might explode
Never seen a girl like you before
She just wanna pop pop pop pop
Pop pop pop that bubblegum

You do it like a professional
But you want your own schedule
Look you're so pretty in pink
Acting like a shit don't stain
You do it all day in the mirror
You practice all day in the mirror
Left cheek, right cheek, all year
I'm calling you out, and I hope you hear it

Shawty right there got a ghetto booty
Shawty right there got a ghetto booty
Drop a dollar on the floor
Hope she give you to me
A ghetto booty
A ghetto booty
She got that trunk but she don't look back
She put it in reverse and I can't be mad
I can't be mad at that baby fat
That's a ghetto booty, a ghetto booty

She just wanna pop pop pop pop
Pop pop pop that bubblegum
She just wanna pop pop pop pop
Pop pop pop that bubblegum
If she keep blowing it might explode
Never seen a girl like you before
She just wanna pop pop pop pop
Pop pop pop that bubblegum

Blow it like a bubble, Bazooka baby
Clouds on the coach, you my hookah baby
She got that senile, make a grown man crazy
(Got that senile, make a grown man crazy)
Shawty in the gym, ask Mazy
I pull up a geda, ask easy
It's too late to go back, she look back I'm cheesin'
I'm kodak, my rolex, a moment, 'der history
(Yum) Pussy bum, tik tok, eyes locked
Lip-locked dang pop I'm done
T-bar, hot numb, no love hot sprung
Baby gimme some yum yum
Big willy, surf board
Really gonna jock, do your thang girl
And I need me a ride or die who's a freak
Got seven different girls every day of the week (what)

Shawty right there got a ghetto booty
Shawty right there got a ghetto booty
Drop a dollar on the floor
Hope she give it to you
A ghetto booty
A ghetto booty
She got that trunk but she don't look back
She put it in reverse and I can't be mad
I can't be mad at that baby fat
That's a ghetto booty, a ghetto booty

She just wanna pop pop pop pop
Pop pop pop that bubblegum
She just wanna pop pop pop pop
Pop pop pop that bubblegum
If she keep blowing it might explode
Never seen a girl like you before
She just wanna pop pop pop pop
Pop pop pop that bubblegum

She just wanna pop

She just wanna pop pop pop pop
Pop pop pop that bubblegum
She just wanna pop pop pop pop
Pop pop pop that bubblegum
If she keep blowing it might explode
Never seen a girl like you before
She just wanna pop pop pop pop
Pop pop pop that bubblegum

Oh yeah",aprox,200,Bubblegum (Feat. Tyga)
30,30,Booty songs,Tip Toe,Jason Derulo,"Way you move ya spine is alarmin'
Mi wan you just

Big fat thang, overflowin'
Skin tight dress, couldn't hold it
Way too thick like it's swollen
Girl, you're too bad and you know it
When you drop down, lose focus
When that thing clap, that's a bonus
MM, that cake looking appetizing
Back pack full, that's a crisis

Bring that body my way
Can't take it off my brain
Look like you do ballet (yeah)

Hold tight when you tip toe
Shake something when you tip toe
No breaks when you push that back
Left, right, do it just like that
Hold tight when you tip toe

Ayo, God bless you from behind and (I do)
One hand up like the Heisman (touchdown)
First class seat when ya ridin' (oh yeah)
Wind that thing like ya spineless

Bring that body my way (my way)
Can't take it off my brain (my brain)
Look like you do ballet

Hold tight when you tip toe
Shake something when you tip toe
No breaks when you push that back
Left, right, do it just like that
Hold tight when you tip toe

Wine fa me darlin'
Way you move ya spine is alarmin'
Mi wan you just wine fa me, darlin'

One, tryna figure out who to give ya love
Two, dancin' like a freak till a quarter past
Three, you know I'm the one you been lookin' for

Left cheek, right cheek
Left cheek, right cheek
Left cheek, right cheek
Left cheek, right cheek (aye, aye)
Tiptoe
Tiptoe
Chains on, got me lookin' like a disco
Who that be? And that drop be Mansory (skrrt)
Who that be? Blowin' gas out the 'Rarri (sk-skrrt)
French vanilla smooth like a 100 year wine
Come sneak up from behind, ""what's ya name? ""
""What's ya sign? "" (huh)
Wine fa me, darlin'
""You want to dock in or fly out? ""
Wine fa me, darlin'
""Baby, you want to lease, rent, or buy out? ""
Wine fa me, darlin'
When dat money keep blowin', swat
why shorty tip toein
Got ya left cheek shown, mama
Tip... (huh)

Bring that body my way (my way)
Can't take it off my brain
Look like you do ballet

Hold tight when you tip toe (when you tip toe)
Shake something when you tip toe (when you tip toe)
No breaks when you push that back (that back)
Left, right, do it just like that (like that)
Hold tight when you tip toe (when you tip toe)

Hold tight when ya
Wine fa me, darlin'
Way you move ya spine is alarmin'
Mi wan you just wine fa me, darlin'
One-time, two-time for the Dj
Tip toe",aprox,200,Tip Toe (Feat. French Montana)
32,32,Booty songs,Wiggle,Jason Derulo,"Hey, yo, Jason
Say somethin' to her
Holla at her

I got one question
How do you fit all that in them jeans?

You know what to do with that big fat butt

Wiggle, wiggle, wiggle
Wiggle, wiggle, wiggle
Wiggle, wiggle, wiggle
Just a ittle bittle

Patty cake, oatty cake
With no hands
Got me in this club making wedding plans
If I take pictures while you do your dance
I can make you famous on Instagram

Hot damn it
Your booty like two planets
Go head, and go ham sandwich
Whoa
I can't stand it

'Cause you know what to do with that big fat butt

Wiggle, wiggle, wiggle
Wiggle, wiggle, wiggle
Wiggle, wiggle, wiggle
Just a little bit of

Cadillac, cadillac, pop that trunk
Let's take a shot
Alley oops that dunk
Tired of working that 9 to 5
Oh baby let me come and change your life

Hot damn it
Your booty like two planets
Go head, and go ham sandwich
Whoa
I can't stand it

'Cause you know what to do with that big fat butt

Wiggle, wiggle, wiggle
Wiggle, wiggle, wiggle
(wiggle, wiggle, wiggle)
Wiggle, wiggle, wiggle
(shake it, shake it girl)
Just a ittle bittle
(Little bit of, little bit of, little bit of, Swing!)

[Snoop Dogg]
Shake what your mama gave you
Misbehave you
I just wanna strip you, dip you
Flip you, bubble bathe you
What they do
Taste my rain drops, Ok boo
Now what you will, what you want, what you may do
Completely separated, til my deeply penetrated
Then I take I out, and wipe it off
Eat it, ate it, love it, hate it
Overstated, underrated, everywhere I been king
You wiggle, wiggle for the D, O, double G, again?

Come on baby
Turn around
(turn around, turn around)
You're a star girl
Take a bow
(take a bow, take a bow)
It's just one thing that's killing me
How you get that in them jeans?

You know what to do with that big fat butt

Wiggle, wiggle, wiggle
(wiggle, wiggle, wiggle)
Wiggle, wiggle, wiggle
(wiggle, wiggle, wiggle)
Wiggle, wiggle, wiggle
(shake it, shake it girl)
Just a ittle bittle

Now make it clap
Wiggle, wiggle, wiggle
Now make it clap
Wiggle, wiggle, wiggle
Make it clap
Now make it clap

Damn baby you got a bright future behind you",aprox,200,Wiggle (Feat. Snoop Dogg)
34,34,Songs about a brother or sister,40 Acres,Pusha T,"[Hook: The-Dream]
Trouble world, trouble child
Trouble times destroyed my smile
No change of heart, no change of mind
You can take what's yours but you gon' leave what's mine
I'd rather die, than go home
I'd rather die, than go home
And I ain't leaving without my 40 acres

[Verse 1: Pusha T]
Unpolished, unapologetic
This cocaine cowboy pushed it to the limit
You thought Tony in that cell would've made us timid
We found his old cell, bitch, we searchin' through the digits
Anything Spanish, got me speaking Spanglish
Money universal, that's the only language
The dream ain't die, only some real niggas
We was born to mothers who couldn't deal with us
Left by fathers who wouldn't build with us
I had both mine home, let's keep it real niggas
My better half chose the better path, applaud him
Younger brother me a spoiled child, I fought him
I heard that the Devil's new playground is boredom
The California top just falls back like autumn
And they say I'm on the verge of winning
I claim victory when Malice on the verge of sinning
Old habits die hard
That rainy day bag buried in the backyard
It's heaven for a hustler, no graveyards
Cause stand up niggas don't lie on no floors
Much rather burn us, ashes to ashes
Mix us with the powder, sell us to the masses
We gon' keep it tight, rip it off the plastic
Now you celebrate motherfuckers raise your glasses
Push

[Hook]

[Verse 2: Pusha T]
Unpolished, unapologetic
Might have broke a heart or two but gave an honest effort
My nonchalant attitude is always eff it
35 years of marriage and my momma left it
You shouldn't question if you ever stood a chance with him
The better question is did you enjoy the dance with him
(Yughh!) I'll probably never pull you chair out, bitch
You know this money grew your hair out, switch
All that shit I bought you wear out
Rich, and I'm the only one I care about
Place none above me, God don't like ugly
Hate me or love me, only he can judge me
Unpolished, unapologetic
Big willie with the blow, niggas, I am legend
School of hard knock, I attended
Selling hard rock, fuck who I offended
I was a goner, punished by karma
Called him tar baby now he's transcending genres
The 911 came with the ass shots
A toothless crackhead was the mascot
The owner of the key to that padlock
I'm Jordan vs Cavs for the last shot
I need all mine, reparations
We growin' poppy seeds on my 40 acres
Push!

[Hook]",aprox,200,40 Acres (Feat. The-Dream)
93,93,Songs about a brother or sister,Number One Enemy,Daisy Dares You,"Verse 1
You always think you know the better thing to do
But in this case you could be wrong
So you chuck off your shoes with an empty smile on
your face
What is the problem with you?
Youre constantly in a mood and youve gotta shake it
off
Its getting on top of you again
Everything that I say is the icing on the cake and
Youve gotta laugh at it
And put it behind you, put it behind you

Chorus
Stop, I'm not your number one enemy
I'm not your number one enemy
If you wanna be a part of me
I'm not your number one enemy

Verse 2
So, now youve got this far
Do you really want to start again on your own
You say youre eternally scarred,
But its nothing we cant fix while youre at home

I'm not your number one enemy
All of you seem to be getting me
A little confused with the way that youre treating me
again
We get along every now and then
We need to tie up the loose ends.
I know that it will be alright,
let's stay in and talk tonight
Chorus
Stop, I'm not your number one enemy
I'm not your number one enemy
If you wanna be a part of me
I'm not your number one enemy
Stop, I'm not your number one enemy
I'm not your number one enemy
If you wanna be a part of me
I'm not your number one enemy

Middle eight
I I I I may be the one to blame sometimes
But I want it like it was before
Like it was once before
And you you you youre stuck
Inbetween what you want and whats the right thing to
do
I want it like it was before
Like it was once before

Rap
Daisy
Its munk
I like this
Take off, take off, Daisys bout to take off
The ones you love the most in life
See you without your make-up
So, put the past behind ya
She don't want to fight ya
You ain't hit the ceiling yet, but chill before your
times up
Oh, look you must be crazy
For 1 6 she ain't your average lady
So you don't really want to go daring daisy
Now shes belling me
Best thing is just let it be
Cos all she keeps on tellin me
Is that she ain't your enemy
She ain't your enemy
Scarlett! She ain't your enemy so
Stop!

Chorus
Stop, I'm not your number one enemy
I'm not your number one enemy
If you wanna be a part of me
I'm not your number one enemy
Stop, I'm not your number one enemy
I'm not your number one enemy
If you wanna be a part of me
I'm not your number one enemy
If you wanna be a part of me
I'm not your number one enemy
Number one enemy
Number one enemy
Number one enemy
Number one enemy",aprox,200,Number One Enemy (feat. Chipmunk)
195,195,End-of-the-world songs,2012 (It Ain't the End),Jay Sean,"[Jay Sean]

Ohh ohh
2-0-1-2
Ohh-yeah
It's alright, oh it's alright

You know what they say
Life ain't always easy and everyday
We're survivors
So forget the day
It's all about tonight at the school and start a
riot,
A riot be rebel

Bottles poppin' til we can't stand
We keep it rockn' til 6 am
New York to London over to Japan
Turn it up... Turn it up.. Mash it up

We gonna party like
Party like it's the end of the world
We gonna party like, like it's 2012
You know that it doesn't matter as long as we got
each other
Turn it up.. Turn it up .. Mash it up
It ain't the end of the world

Ohhhhh
Gonna live like it's the end of the world
Gonna party like
Ohhhhh
Turn it up... Turn it up... Mash it up
It ain't the end of the world

[Nicki Minaj]

Simile's, metaphors and we pop pills
Sick flow inundated with the doc bills
Work hard, now we know how to top bills
In the middle of the street doing cartwheels
Lot of them tryna do it but it's not real
Wasn't a rapper then I coulda got a pop deal
White clothes in a hot pink hot wheels
Lot of bottles and a lot of booty cocktails

Uh, days of our lives
You wink it goes by
So we'll just get it with no edison
Anything goes so no time for closed minds
And free my lil weezy
And let's just get right
Young Money, Cash Money in the building
Let's go the World ends tonight

[Jay Sean]

Have a drink with me
And let's make tonight go down
In history... in history yeahh
Let's play make believe
It's the last 24 hours and this whole world is ours
Eternally, eternally

Heyyyyy
Bottles poppin til we can't stand
We keep it rockn til 6 am
New York to London over to Japan
Turn it up... Turn It Up.. Mash it up

We gonna party like
Party like, like it's the end of the world
We gonna party like, like it's 2012
You know that it doesn't matter as long as we got
each other
Turn it up.. Turn it up .. Mash it up
It ain't the end of the World

Ohhhhhhhhhhh
We gotta live like it's the end of the world
We gotta party like
Ohhhhhhhhhhhh
Turn it up .. Turn It Up.. Mash it up
It ain't the end of the world

Noooooooooooooooooooooo
No I'm not gonna follow
Anything that they say anymore
It's never too late to start living
So let's start it with here right now

Party like like it's the end of the World
We gonna party like like it's 2012
You know that it doesn't matter as long as we got
each other
Turn it up.. Turn it up... mash it up
It ain't the end of the world

Ohhhhhhhhh
We gonna live like it's the end of the World
We gonna party like 
Turn it up .. Turn It Up.. Mash it up
It ain't the end of the world
Because the world keep spinning
The world keep spinning around",aprox,200,2012 (It Ain't The End) (Feat. Nicki Minaj)
264,264,Pessimistic songs,Where's The Catch?,James Blake,"Goodbye, goodbye, goodbye, goodbye
Can't ne-, can't ne-, can't ne-, can't ne
Can't nev-, can't nev-, can't nev-, can't nev
Can't never, can't never, can't never, can't never

We delay the show, we kiss so long
We breathe through the nose 'til the breath is gone
And everything slows, everything's rose now
You use both hands, I use both hands
We meet in the middle, we meet in the sand
And everything's ghost, everything's ghost now
Every, everything's rose now

(Oh, right now) Where's the catch?
(Can't fool me) Where's the catch?
There must be, there must be a catch

Hey, alright, now this maybe a little bit heady
And, y'know, I hate heady-ass verses
I wrote this shit, so here we go
Yo

All my pessimistic keeps me in a cage (Cage)
All my haters' twistin' keeps me spinnin' 'round for days (Days)
Exorcism, pessimism has arisen
There's no reason, really treason to myself, so silly
So perfect, so perfect, so why do I look for curtains?
I'm certain but certainly, false alarm's alertin'
A burden and beautiful times, a garden snake (SS)
Won't bite me, but frightens me like I know I'm eight
I know I ain't, I know it, ayy
Harmony, harmony, how many, how many
Days of amazin' will it be before it phases?
And I say I told you so (Told you so)
Summer bee, summer be buzzin'
Some will be hovering over nothin'
All of a sudden it's fall and it's over, though
Come with me, come with me, calming me down
Be chamomile, calamine lotion, count my motion
Hoppin' on the flow (Yeah)
Tumbleweed, tumbleweed
Wanna leave before the avaricious take over the city
We build and discover gold
Alchemists make it silver before you know it
Negative nickels until it's void
Aluminum foil it back to soil, oy

Where's the catch?

But everything's rose, everything's rose
Everything's rose now
(Isn't it brighter?)
But everything's rose (Everything)
Everything's rose (Everything)
Everything's rose now
(Everything-thing)
Everything's rose (Everything-thing)
Everything's rose (Everything-thing)
Everything's rose now
Can you trust me?
But-but, every-everything-thing's rose
(Everything is rose)
Every-everything-thing's rose
(Everything is)
But-but, every-everything-thing's rose
(Everything's is rose)
Every-everything-thing's rose
(Now)
Every-everything-thing's rose
But-but, every-everything-thing's rose
(Right now)
Everything, everything
Everything, everything
(Right now)

(Right now) Where's the catch?
(Can't fool me) Where's the catch?
There must be, there must be a catch

(Right now)",aprox,200,Where's the Catch? (Ft. André 3000)
299,299,Kiss-off songs,You Don't Do It For Me,Demi Lovato,"I see the future without you
The hell was I doing in the past?
Now that I've learnt all about you
A love just like ours wouldn't last

I won't fall for your games
So don't hate me when I say

That you don't do it for me anymore
No, you don't do it for me anymore

Money won't pay for your problems
You gotta fix them yourself
Vices and pity won't solve 'em
Stop feeling bad for youself

I won't fall for your games
So don't hate me when I say

That you don't do it for me anymore
No, you don't do it for me anymore

I'm sorry for honesty
I could not bear to lie to you, 
to lie with you
I'm sorry for honesty
I'm well aware I lied to you
 when I lied with you

You don't do it for me anymore
No, you don't do it for me,
 don't do it for me
You don't do it for me anymore
No, you don't do it for me anymore",aprox,200,You Don't Do It For Me Anymore
